"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"ENSG00000224165",23.7672091868176,1.22350407421007,0.413376506196755,2.95978135155006,0.0030785745094996,0.0236627687788989,"DNAJC27-AS1"
"ENSG00000231943",74.8491411310559,1.20433545094929,0.411981061392037,2.92327867421861,0.00346366368127175,0.0259754068660061,"PGM5P4-AS1"
"ENSG00000151690",2069.52566411791,-1.05410173441592,0.225457745455569,-4.67538488103818,2.93402828015622e-06,6.68361696361011e-05,"MFSD6"
"ENSG00000213639",9126.72817213305,-1.0734746579333,0.198539286564391,-5.40686267443169,6.41382807986645e-08,2.26421368012696e-06,"PPP1CB"
"ENSG00000229647",33.8059862097665,-2.57924948989044,0.490448320974126,-5.25896282969742,1.44870166388452e-07,4.72422365817178e-06,NA
"ENSG00000287255",13.2434906287401,-2.907610211622,0.588854354928245,-4.93774086459173,7.90327632308356e-07,2.10933400418639e-05,"LOC101929667"
"ENSG00000230587",43.7558992100472,-1.66056331378291,0.330089405175187,-5.03064711483727,4.88827135699805e-07,1.40423990615687e-05,"LOC107985876"
"ENSG00000244301",9.97717577555216,-2.91310218726049,0.726499503509919,-4.00977863465355,6.07756977727403e-05,0.000941197966495376,NA
"ENSG00000162998",188.900344147648,-1.69621774340712,0.418628403661617,-4.05184581020019,5.08151504892508e-05,0.000813734358813398,"FRZB"
"ENSG00000115419",8643.48380410223,-1.19170827705143,0.155254398331922,-7.67584229403696,1.64335206482095e-14,2.0614208301114e-12,"GLS"
"ENSG00000132326",197.195179621207,1.10081712714517,0.336534045139662,3.27104238945076,0.00107151847915405,0.0102865773998789,"PER2"
"ENSG00000285569",31.9164485939723,-2.00853116753355,0.418598001336886,-4.79823401239104,1.60070697469441e-06,3.88630999172259e-05,"LOC105373429"
